Audit_Time,Audit_Action,time_segment_key,myemployee_key,time_date,Company,Work,Work_Category,Job,Start_Time,End_Time,Duration,Break_Duration,Approved,is_deleted,myPay_Key,Time_Requires_Approval,Week_Starts_On,Pay_Period_Start,Pay_Period_End,Pay_Frequency,Pay_Created_Date,periodic_date, periodic_time, time_dif
2012-10-30 13:51:01.090, Change, 794486, 13077, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1702
2012-10-30 13:51:01.013, Change, 793901, 13066, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1702
2012-10-30 13:51:01.013, Change, 793897, 13066, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1702
2012-10-30 13:51:01.013, Change, 793900, 13066, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1702
2012-10-30 13:51:01.013, Change, 793895, 13066, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1702
2012-10-30 13:51:00.990, Change, 793829, 13049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1703
2012-10-30 13:51:01.057, Change, 794483, 12989, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1702
2012-10-30 14:46:31.413, Add, 794685, 14376, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1339
2012-10-30 14:45:58.120, Add, 794684, 14376, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1372
2012-10-30 14:45:34.903, Add, 794683, 14376, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1396
2012-10-30 14:45:12.340, Add, 794682, 14376, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1418
2012-10-30 14:44:47.740, Add, 794681, 14376, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1443
2012-10-30 13:55:06.180, Add, 794579, 13091, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1544
2012-10-30 13:54:45.983, Change, 794576, 13091, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1565
2012-10-30 13:54:01.420, Add, 794574, 13091, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1609
2012-10-30 13:53:24.773, Add, 794572, 13091, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1646
2012-10-30 14:44:08.580, Add, 794678, 13089, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1482
2012-10-30 14:43:32.100, Change, 794675, 13089, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1518
2012-10-30 14:43:01.033, Add, 794674, 13089, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1549
2012-10-30 14:42:18.313, Add, 794673, 13089, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1592
2012-10-30 14:41:59.403, Add, 794672, 13089, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1611
2012-10-30 14:41:19.563, Add, 794671, 13089, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1651
2012-10-30 14:36:50.173, Add, 794664, 13084, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1920
